Nome,CPF,Unidade,Data_Nascimento,Data_Admissao,Status_Afastamento,Data_Inicio_Afastamento,Data_Fim_Afastamento,Data_Desligamento
Ana Paula Santos,123.456.789-01,Loja Brasília Express,1985-03-15,2020-01-10,Férias,2026-02-01,2026-02-28,
Carlos Eduardo Silva,987.654.321-02,Loja Manaus Atacarejo,1990-07-22,2018-03-05,Ativo,,,
Mariana Oliveira,456.789.123-03,Loja Florianópolis Proximity,1992-11-10,2021-07-15,Licença Maternidade,2026-01-10,2026-07-09,
Roberto Almeida,321.654.987-04,Loja Caxias do Sul Proximity,1988-09-05,2019-02-20,Ativo,,,
Fernanda Costa,789.123.456-05,Loja Uberlândia Proximity,1995-12-12,2022-08-01,Licença Médica,2026-02-15,2026-03-15,
Lucas Ferreira,654.987.321-06,Loja Uberlândia Proximity,1991-04-28,2020-11-10,Ativo,,,
Juliana Rocha,147.258.369-07,Loja Florianópolis Proximity,1987-06-03,2017-09-25,Férias,2026-02-10,2026-03-10,
Marcelo Souza,258.369.147-08,Loja Vitória da Conquista Supermercado,1993-12-19,2022-03-14,Ativo,,,
Patrícia Lima,369.147.258-09,Loja Manaus Atacarejo,1994-08-08,2021-04-01,Licença Médica,2026-02-20,2026-04-20,
Rafael Gomes,741.852.963-10,Loja Belo Horizonte Proximity,1986-01-30,2019-06-12,Desligado,,,2026-01-15
Camila Mendes,852.963.741-11,Loja Brasília Express,1990-05-25,2020-09-03,Ativo,,,
Thiago Nunes,963.741.852-12,Loja Londrina Atacarejo,1989-10-14,2018-08-22,Férias,2026-03-05,2026-04-05,
Larissa Cardoso,159.357.486-13,Loja Londrina Atacarejo,1996-02-07,2023-05-18,Ativo,,,
Felipe Araujo,486.159.357-14,Loja Vitória Atacarejo,1987-11-26,2019-07-30,Licença Maternidade,2026-02-01,2026-08-01,
Amanda Ribeiro,357.486.159-15,Loja Feira de Santana Hipermercado,1992-09-09,2021-10-12,Ativo,,,
Ricardo Martins,753.951.852-16,Loja Caxias do Sul Proximity,1994-04-17,2022-12-05,Ativo,,,
Bruna Carvalho,951.852.753-17,Loja Brasília Express,1991-08-23,2020-06-19,Férias,2026-02-15,2026-03-15,
Daniel Castro,852.753.951-18,Loja Campo Grande Supermercado,1985-12-31,2018-04-08,Desligado,,,2025-12-20
Vanessa Pereira,654.321.987-19,Loja Uberlândia Proximity,1993-03-11,2021-09-27,Ativo,,,
Gustavo Oliveira,321.987.654-20,Loja Campina Grande Hipermercado,1990-07-02,2020-01-14,Licença Médica,2026-03-01,2026-03-31,
Cintia Alves,987.123.456-21,Loja Joinville Proximity,1988-10-18,2017-11-23,Férias,2026-02-20,2026-03-20,
Paulo Henrique,456.123.789-22,Loja Uberlândia Proximity,1992-06-06,2022-07-09,Ativo,,,
Renata Duarte,789.456.123-23,Loja Caxias do Sul Proximity,1995-09-29,2023-03-17,Ativo,,,
Eduardo Santana,123.789.456-24,Loja Belém Express,1989-05-13,2018-10-25,Licença Maternidade,2026-02-15,2026-08-15,
Tatiana Borges,456.789.321-25,Loja Vitória Atacarejo,1991-01-01,2020-04-02,Ativo,,,
Alexandre Melo,321.456.789-26,Loja Rio de Janeiro Hipermercado,1993-08-20,2021-11-11,Férias,2026-03-10,2026-04-10,
Priscila Rios,789.321.456-27,Loja Vitória da Conquista Supermercado,1990-07-16,2019-06-28,Ativo,,,
Bruno Lopes,654.321.123-28,Loja Ribeirão Preto Proximity,1994-03-04,2022-08-30,Ativo,,,
Elaine Nogueira,123.654.789-29,Loja Campina Grande Hipermercado,1987-12-27,2018-05-14,Desligado,,,2026-02-05
Anderson Barbosa,789.654.321-30,Loja Campinas Hipermercado,1992-10-21,2020-09-19,Licença Médica,2026-02-05,2026-03-05,
Jessica Monteiro,456.123.654-31,Loja Brasília Express,1995-04-15,2022-12-03,Ativo,,,
Diego Almeida,321.789.654-32,Loja Salvador Supermercado,1990-08-08,2021-07-22,Férias,2026-03-01,2026-03-31,
Aline Freitas,654.987.123-33,Loja Palmas Proximity,1988-06-19,2019-03-16,Ativo,,,
Igor Fernandes,987.321.654-34,Loja Belém Express,1991-11-12,2020-10-27,Ativo,,,
Luciana Andrade,147.369.258-35,Loja Brasília Express,1993-05-03,2022-08-04,Licença Maternidade,2026-01-20,2026-07-20,
Rodrigo Pires,258.147.369-36,Loja Rio de Janeiro Hipermercado,1989-09-24,2017-12-13,Férias,2026-03-15,2026-04-15,
Claudia Moreira,369.258.147-37,Loja Manaus Atacarejo,1994-02-14,2023-06-29,Ativo,,,
Fernando Castro,741.963.852-38,Loja Goiânia Express,1992-10-07,2021-11-03,Ativo,,,
Isabela Gomes,963.852.741-39,Loja João Pessoa Supermercado,1990-03-30,2019-04-19,Desligado,,,2026-02-10
Ronaldo Faria,852.741.963-40,Loja Uberlândia Proximity,1995-07-26,2022-05-08,Ativo,,,
Simone Carvalho,159.753.486-41,Loja Porto Velho Proximity,1988-01-11,2020-09-21,Férias,2026-02-05,2026-03-05,
Leandro Souza,486.159.753-42,Loja Londrina Atacarejo,1991-12-22,2021-06-16,Licença Médica,2026-02-10,2026-04-10,
Fabiana Teixeira,753.486.159-43,Loja Ribeirão Preto Proximity,1993-04-05,2022-10-28,Ativo,,,
Sergio Menezes,951.357.852-44,Loja Rio de Janeiro Hipermercado,1994-08-17,2023-02-07,Ativo,,,
Gisele Santos,357.951.852-45,Loja Rio de Janeiro Hipermercado,1990-06-13,2018-12-09,Férias,2026-03-20,2026-04-20,
Mauricio Lima,852.357.951-46,Loja Recife Express,1989-11-02,2020-04-25,Desligado,,,2026-03-01
Tania Souza,357.852.951-47,Loja Belo Horizonte Proximity,1992-05-28,2021-09-30,Ativo,,,
Andre Rodrigues,951.852.357-48,Loja Curitiba Supermercado,1991-03-09,2019-08-14,Licença Maternidade,2026-03-01,2026-09-01,
Diana Xavier,753.951.357-49,Loja Caxias do Sul Proximity,1987-12-18,2020-02-03,Ativo,,,
Renato Costa,852.963.321-50,Loja Caxias do Sul Proximity,1993-10-15,2022-05-22,Férias,2026-03-10,2026-04-10,
