Nome,CPF,Unidade,Data_Nascimento,Data_Admissao,Status_Afastamento,Data_Inicio_Afastamento,Data_Fim_Afastamento,Data_Desligamento
Ana Paula Santos,123.456.789-01,Loja Brasília Express,1985-03-15,2025-04-13,Férias,2026-02-01,2026-02-28,
Carlos Eduardo Silva,987.654.321-02,Loja Manaus Atacarejo,1990-07-22,2026-03-12,Ativo,,,
Mariana Oliveira,456.789.123-03,Loja Florianópolis Proximity,1992-11-10,2025-12-15,Ativo,,,
Roberto Almeida,321.654.987-04,Loja Caxias do Sul Proximity,1988-09-05,2025-09-28,Férias,2026-07-20,2026-08-02,
Fernanda Costa,789.123.456-05,Loja Uberlândia Proximity,1995-12-12,2025-04-17,Licença Médica,2026-02-15,2026-03-15,
Lucas Ferreira,654.987.321-06,Loja Uberlândia Proximity,1991-04-28,2025-03-13,Ativo,,,
Juliana Rocha,147.258.369-07,Loja Florianópolis Proximity,1987-06-03,2025-07-08,Férias,2026-02-10,2026-03-10,
Marcelo Souza,258.369.147-08,Loja Vitória da Conquista Supermercado,1993-12-19,2025-01-21,Ativo,,,
Patrícia Lima,369.147.258-09,Loja Manaus Atacarejo,1994-08-08,2025-04-13,Licença Médica,2026-02-20,2026-04-20,
Rafael Gomes,741.852.963-10,Loja Belo Horizonte Proximity,1986-01-30,2025-05-02,Desligado,,,2026-01-15
Camila Mendes,852.963.741-11,Loja Brasília Express,1990-05-25,2026-04-12,Desligado,,,2026-07-19
Thiago Nunes,963.741.852-12,Loja Londrina Atacarejo,1989-10-14,2025-08-03,Férias,2026-03-05,2026-04-05,
Larissa Cardoso,159.357.486-13,Loja Londrina Atacarejo,1996-02-07,2025-11-27,Ativo,,,
Felipe Araujo,486.159.357-14,Loja Vitória Atacarejo,1987-11-26,2025-03-29,Ativo,,,
Amanda Ribeiro,357.486.159-15,Loja Feira de Santana Hipermercado,1992-09-09,2026-01-08,Ativo,,,
Ricardo Martins,753.951.852-16,Loja Caxias do Sul Proximity,1994-04-17,2025-04-10,Ativo,,,
Bruna Carvalho,951.852.753-17,Loja Brasília Express,1991-08-23,2025-12-26,Férias,2026-02-15,2026-03-15,
Daniel Castro,852.753.951-18,Loja Campo Grande Supermercado,1985-12-31,2025-06-01,Desligado,,,2025-12-20
Vanessa Pereira,654.321.987-19,Loja Uberlândia Proximity,1993-03-11,2025-05-11,Desligado,,,2026-07-23
Gustavo Oliveira,321.987.654-20,Loja Campina Grande Hipermercado,1990-07-02,2025-05-30,Licença Médica,2026-03-01,2026-03-31,
Cintia Alves,987.123.456-21,Loja Joinville Proximity,1988-10-18,2025-11-05,Férias,2026-02-20,2026-03-20,
Paulo Henrique,456.123.789-22,Loja Uberlândia Proximity,1992-06-06,2025-12-10,Ativo,,,
Renata Duarte,789.456.123-23,Loja Caxias do Sul Proximity,1995-09-29,2026-05-07,Ativo,,,
Eduardo Santana,123.789.456-24,Loja Belém Express,1989-05-13,2025-10-21,Ativo,,,
Tatiana Borges,456.789.321-25,Loja Vitória Atacarejo,1991-01-01,2026-01-21,Licença Médica,2026-07-26,2026-08-05,
Alexandre Melo,321.456.789-26,Loja Rio de Janeiro Hipermercado,1993-08-20,2025-07-11,Férias,2026-03-10,2026-04-10,
Priscila Rios,789.321.456-27,Loja Vitória da Conquista Supermercado,1990-07-16,2025-10-04,Ativo,,,
Bruno Lopes,654.321.123-28,Loja Ribeirão Preto Proximity,1994-03-04,2025-06-10,Ativo,,,
Elaine Nogueira,123.654.789-29,Loja Campina Grande Hipermercado,1987-12-27,2025-11-10,Desligado,,,2026-02-05
Anderson Barbosa,789.654.321-30,Loja Campinas Hipermercado,1992-10-21,2025-01-22,Licença Médica,2026-02-05,2026-03-05,
Jessica Monteiro,456.123.654-31,Loja Brasília Express,1995-04-15,2025-09-10,Ativo,,,
Diego Almeida,321.789.654-32,Loja Salvador Supermercado,1990-08-08,2025-08-24,Férias,2026-03-01,2026-03-31,
Aline Freitas,654.987.123-33,Loja Palmas Proximity,1988-06-19,2026-07-11,Ativo,,,
Igor Fernandes,987.321.654-34,Loja Belém Express,1991-11-12,2026-04-20,Ativo,,,
Luciana Andrade,147.369.258-35,Loja Brasília Express,1993-05-03,2025-02-28,Férias,2026-07-20,2026-08-02,
Rodrigo Pires,258.147.369-36,Loja Rio de Janeiro Hipermercado,1989-09-24,2025-06-19,Férias,2026-03-15,2026-04-15,
Claudia Moreira,369.258.147-37,Loja Manaus Atacarejo,1994-02-14,2026-04-21,Ativo,,,
Fernando Castro,741.963.852-38,Loja Goiânia Express,1992-10-07,2025-07-09,Ativo,,,
Isabela Gomes,963.852.741-39,Loja João Pessoa Supermercado,1990-03-30,2025-06-24,Desligado,,,2026-02-10
Ronaldo Faria,852.741.963-40,Loja Uberlândia Proximity,1995-07-26,2026-07-09,Desligado,,,2026-07-26
Simone Carvalho,159.753.486-41,Loja Porto Velho Proximity,1988-01-11,2025-12-30,Férias,2026-02-05,2026-03-05,
Leandro Souza,486.159.753-42,Loja Londrina Atacarejo,1991-12-22,2025-02-24,Licença Médica,2026-02-10,2026-04-10,
Fabiana Teixeira,753.486.159-43,Loja Ribeirão Preto Proximity,1993-04-05,2025-09-01,Ativo,,,
Sergio Menezes,951.357.852-44,Loja Rio de Janeiro Hipermercado,1994-08-17,2026-05-20,Ativo,,,
Gisele Santos,357.951.852-45,Loja Rio de Janeiro Hipermercado,1990-06-13,2025-05-11,Férias,2026-03-20,2026-04-20,
Mauricio Lima,852.357.951-46,Loja Recife Express,1989-11-02,2025-11-03,Desligado,,,2026-03-01
Tania Souza,357.852.951-47,Loja Belo Horizonte Proximity,1992-05-28,2025-01-21,Ativo,,,
Andre Rodrigues,951.852.357-48,Loja Curitiba Supermercado,1991-03-09,2025-11-25,Ativo,,,
Diana Xavier,753.951.357-49,Loja Caxias do Sul Proximity,1987-12-18,2025-06-16,Ativo,,,
Renato Costa,852.963.321-50,Loja Caxias do Sul Proximity,1993-10-15,2025-10-01,Férias,2026-03-10,2026-04-10,
Marcos Vinicius Lima,111.222.333-51,Loja Brasília Express,1987-02-14,2026-07-01,Ativo,,,
Beatriz Martins Souza,222.333.444-52,Loja Manaus Atacarejo,1994-06-21,2026-07-06,Ativo,,,
João Pedro Carvalho,333.444.555-53,Loja Florianópolis Proximity,1991-09-03,2026-07-13,Ativo,,,
Camila Fernanda Alves,444.555.666-54,Loja Uberlândia Proximity,1996-01-27,2026-07-15,Ativo,,,
Rafael Augusto Mendes,555.666.777-55,Loja Caxias do Sul Proximity,1989-11-18,2026-07-17,Ativo,,,
Juliana Martins Ferreira,666.777.888-56,Loja Brasília Express,1993-04-09,2026-07-21,Ativo,,,
Diego Henrique Souza,777.888.999-57,Loja Manaus Atacarejo,1986-12-30,2026-07-22,Ativo,,,
Larissa Mendes Rocha,888.999.111-58,Loja Florianópolis Proximity,1997-05-16,2026-07-23,Ativo,,,
Gustavo Henrique Alves,999.111.222-59,Loja Uberlândia Proximity,1990-10-11,2026-07-24,Ativo,,,
Priscila Fernandes Costa,101.222.333-60,Loja Caxias do Sul Proximity,1995-08-25,2026-07-27,Ativo,,,
